LINE_TYPE,LINE,CAR
SINGLE,500,490
SINGLE,500,490
SINGLE,500,490
SINGLE,500,490
SINGLE,500,490
SINGLE,500,490
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,501,491
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,502,492
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,503,493
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,504,494
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,505,495
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,506,496
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,507,497
SINGLE,508,498
SINGLE,508,498
SINGLE,508,498
SINGLE,508,498
SINGLE,508,498
SINGLE,508,498
SINGLE,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
